std,mean_success_rate_across_seeds,stdev_across_seeds,min_across_seeds,max_across_seeds,pooled_n_success,pooled_n_attempts,pooled_success_rate,pooled_95ci_lo,pooled_95ci_hi
0.0,0.3684,0.008,0.362,0.384,921,2500,0.3684,0.3495,0.3873
0.02,0.3696,0.0064,0.362,0.38,924,2500,0.3696,0.3507,0.3885
0.05,0.3656,0.0085,0.35,0.376,914,2500,0.3656,0.3467,0.3845
0.1,0.3616,0.0069,0.352,0.372,904,2500,0.3616,0.3428,0.3804
0.15,0.3628,0.0032,0.358,0.368,907,2500,0.3628,0.344,0.3816
0.2,0.3688,0.0094,0.354,0.378,922,2500,0.3688,0.3499,0.3877
0.3,0.3656,0.0097,0.35,0.38,914,2500,0.3656,0.3467,0.3845
0.4,0.36,0.0095,0.348,0.372,900,2500,0.36,0.3412,0.3788
0.5,0.3276,0.0071,0.316,0.338,819,2500,0.3276,0.3092,0.346
0.65,0.3096,0.0138,0.29,0.328,774,2500,0.3096,0.2915,0.3277
0.8,0.2648,0.0118,0.246,0.276,662,2500,0.2648,0.2475,0.2821
1.0,0.2164,0.0178,0.2,0.246,541,2500,0.2164,0.2003,0.2325
1.3,0.1568,0.0079,0.148,0.168,392,2500,0.1568,0.1425,0.1711
1.6,0.1084,0.013,0.094,0.128,271,2500,0.1084,0.0962,0.1206
2.0,0.0732,0.0068,0.066,0.084,183,2500,0.0732,0.063,0.0834
2.5,0.052,0.0049,0.046,0.06,130,2500,0.052,0.0433,0.0607
3.0,0.0388,0.0086,0.026,0.052,97,2500,0.0388,0.0312,0.0464
4.0,0.0276,0.0039,0.024,0.034,69,2500,0.0276,0.0212,0.034
5.5,0.0176,0.007,0.008,0.028,44,2500,0.0176,0.0124,0.0228
8.0,0.016,0.0064,0.006,0.024,40,2500,0.016,0.0111,0.0209
