seed,std,n_success,n_failed,n_attempts,success_rate,wall_seconds,exit_code,verified_on_disk,skipped
3,0.0,192,308,500,0.384,210.0,0,True,False
3,0.02,186,314,500,0.372,213.8,0,True,False
3,0.05,188,312,500,0.376,213.9,0,True,False
3,0.1,179,321,500,0.358,211.3,0,True,False
3,0.15,179,321,500,0.358,210.4,0,True,False
3,0.2,189,311,500,0.378,211.2,0,True,False
3,0.3,190,310,500,0.38,214.4,0,True,False
3,0.4,186,314,500,0.372,213.1,0,True,False
3,0.5,165,335,500,0.33,212.5,0,True,False
3,0.65,157,343,500,0.314,213.6,0,True,False
3,0.8,128,372,500,0.256,210.8,0,True,False
3,1.0,102,398,500,0.204,211.5,0,True,False
3,1.3,74,426,500,0.148,209.7,0,True,False
3,1.6,57,443,500,0.114,209.5,0,True,False
3,2.0,38,462,500,0.076,213.9,0,True,False
3,2.5,23,477,500,0.046,212.3,0,True,False
3,3.0,17,483,500,0.034,211.8,0,True,False
3,4.0,12,488,500,0.024,212.3,0,True,False
3,5.5,10,490,500,0.02,209.3,0,True,False
3,8.0,7,493,500,0.014,211.2,0,True,False
