arc_std_cm,mean_success_rate_across_seeds,stdev_across_seeds,min_across_seeds,max_across_seeds,pooled_n_success,pooled_n_attempts,pooled_success_rate,pooled_95ci_lo,pooled_95ci_hi
0.5,0.3508,0.0072,0.34,0.362,877,2500,0.3508,0.3321,0.3695
0.6,0.3488,0.006,0.344,0.36,872,2500,0.3488,0.3301,0.3675
0.7,0.3488,0.0116,0.334,0.366,872,2500,0.3488,0.3301,0.3675
0.8,0.3444,0.0127,0.328,0.358,861,2500,0.3444,0.3258,0.363
0.9,0.3376,0.0101,0.324,0.354,844,2500,0.3376,0.3191,0.3561
1.0,0.3312,0.0182,0.31,0.36,828,2500,0.3312,0.3128,0.3496
1.1,0.326,0.0161,0.304,0.352,815,2500,0.326,0.3076,0.3444
1.2,0.3328,0.0185,0.314,0.36,832,2500,0.3328,0.3143,0.3513
1.3,0.3236,0.012,0.308,0.344,809,2500,0.3236,0.3053,0.3419
1.4,0.316,0.0128,0.302,0.338,790,2500,0.316,0.2978,0.3342
1.5,0.3012,0.0187,0.282,0.332,753,2500,0.3012,0.2832,0.3192
1.8,0.2884,0.0192,0.266,0.322,721,2500,0.2884,0.2706,0.3062
2.0,0.2784,0.0066,0.27,0.288,696,2500,0.2784,0.2608,0.296
2.5,0.2392,0.0037,0.236,0.246,598,2500,0.2392,0.2225,0.2559
3.0,0.1912,0.0079,0.18,0.202,478,2500,0.1912,0.1758,0.2066
