seed,arc_std_cm,n_success,n_failed,n_attempts,success_rate,wall_seconds,exit_code,verified_on_disk,skipped
1,0.5,175,325,500,0.35,239.7,0,True,False
1,0.6,175,325,500,0.35,237.0,0,True,False
1,0.7,171,329,500,0.342,238.6,0,True,False
1,0.8,176,324,500,0.352,237.1,0,True,False
1,0.9,166,334,500,0.332,238.7,0,True,False
1,1.0,172,328,500,0.344,238.0,0,True,False
1,1.1,167,333,500,0.334,243.0,0,True,False
1,1.2,175,325,500,0.35,243.7,0,True,False
1,1.3,159,341,500,0.318,237.7,0,True,False
1,1.4,161,339,500,0.322,239.3,0,True,False
1,1.5,156,344,500,0.312,235.0,0,True,False
1,1.8,144,356,500,0.288,239.1,0,True,False
1,2.0,142,358,500,0.284,237.3,0,True,False
1,2.5,118,382,500,0.236,235.9,0,True,False
1,3.0,94,406,500,0.188,236.6,0,True,False
2,0.5,174,326,500,0.348,236.7,0,True,False
2,0.6,173,327,500,0.346,236.1,0,True,False
2,0.7,179,321,500,0.358,232.2,0,True,False
2,0.8,177,323,500,0.354,235.9,0,True,False
2,0.9,171,329,500,0.342,235.4,0,True,False
2,1.0,160,340,500,0.32,233.3,0,True,False
2,1.1,159,341,500,0.318,233.7,0,True,False
2,1.2,160,340,500,0.32,235.9,0,True,False
2,1.3,154,346,500,0.308,232.1,0,True,False
2,1.4,155,345,500,0.31,237.6,0,True,False
2,1.5,148,352,500,0.296,237.6,0,True,False
2,1.8,137,363,500,0.274,231.1,0,True,False
2,2.0,138,362,500,0.276,235.0,0,True,False
2,2.5,120,380,500,0.24,235.8,0,True,False
2,3.0,94,406,500,0.188,232.3,0,True,False
3,0.5,170,330,500,0.34,237.0,0,True,False
3,0.6,172,328,500,0.344,238.2,0,True,False
3,0.7,172,328,500,0.344,236.2,0,True,False
3,0.8,165,335,500,0.33,235.5,0,True,False
3,0.9,162,338,500,0.324,233.3,0,True,False
3,1.0,155,345,500,0.31,236.4,0,True,False
3,1.1,152,348,500,0.304,233.9,0,True,False
3,1.2,157,343,500,0.314,236.8,0,True,False
3,1.3,164,336,500,0.328,236.2,0,True,False
3,1.4,151,349,500,0.302,233.3,0,True,False
3,1.5,142,358,500,0.284,237.1,0,True,False
3,1.8,146,354,500,0.292,235.3,0,True,False
3,2.0,137,363,500,0.274,233.7,0,True,False
3,2.5,123,377,500,0.246,232.7,0,True,False
3,3.0,101,399,500,0.202,233.0,0,True,False
4,0.5,177,323,500,0.354,237.6,0,True,False
4,0.6,172,328,500,0.344,237.5,0,True,False
4,0.7,167,333,500,0.334,234.9,0,True,False
4,0.8,164,336,500,0.328,238.2,0,True,False
4,0.9,168,332,500,0.336,234.5,0,True,False
4,1.0,161,339,500,0.322,237.0,0,True,False
4,1.1,161,339,500,0.322,238.4,0,True,False
4,1.2,160,340,500,0.32,236.6,0,True,False
4,1.3,160,340,500,0.32,236.1,0,True,False
4,1.4,154,346,500,0.308,237.8,0,True,False
4,1.5,141,359,500,0.282,235.4,0,True,False
4,1.8,133,367,500,0.266,238.6,0,True,False
4,2.0,135,365,500,0.27,237.6,0,True,False
4,2.5,119,381,500,0.238,237.6,0,True,False
4,3.0,90,410,500,0.18,238.7,0,True,False
5,0.5,181,319,500,0.362,240.9,0,True,False
5,0.6,180,320,500,0.36,239.5,0,True,False
5,0.7,183,317,500,0.366,236.6,0,True,False
5,0.8,179,321,500,0.358,239.6,0,True,False
5,0.9,177,323,500,0.354,239.7,0,True,False
5,1.0,180,320,500,0.36,239.0,0,True,False
5,1.1,176,324,500,0.352,235.4,0,True,False
5,1.2,180,320,500,0.36,234.6,0,True,False
5,1.3,172,328,500,0.344,239.7,0,True,False
5,1.4,169,331,500,0.338,236.5,0,True,False
5,1.5,166,334,500,0.332,235.7,0,True,False
5,1.8,161,339,500,0.322,234.7,0,True,False
5,2.0,144,356,500,0.288,239.8,0,True,False
5,2.5,118,382,500,0.236,236.4,0,True,False
5,3.0,99,401,500,0.198,241.3,0,True,False
