seed,arc_std_cm,n_success,n_failed,n_attempts,success_rate,wall_seconds,exit_code,verified_on_disk,skipped
3,0.5,170,330,500,0.34,237.0,0,True,False
3,0.6,172,328,500,0.344,238.2,0,True,False
3,0.7,172,328,500,0.344,236.2,0,True,False
3,0.8,165,335,500,0.33,235.5,0,True,False
3,0.9,162,338,500,0.324,233.3,0,True,False
3,1.0,155,345,500,0.31,236.4,0,True,False
3,1.1,152,348,500,0.304,233.9,0,True,False
3,1.2,157,343,500,0.314,236.8,0,True,False
3,1.3,164,336,500,0.328,236.2,0,True,False
3,1.4,151,349,500,0.302,233.3,0,True,False
3,1.5,142,358,500,0.284,237.1,0,True,False
3,1.8,146,354,500,0.292,235.3,0,True,False
3,2.0,137,363,500,0.274,233.7,0,True,False
3,2.5,123,377,500,0.246,232.7,0,True,False
3,3.0,101,399,500,0.202,233.0,0,True,False
